Any,Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. De 65 anys i més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. De 65 anys i més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. De 65 anys i més
2019,080728,Corbera de Llobregat,1.299,5.205,945,1.203,5.008,1.162,2.502,10.213,2.107
2019,250788,Corbins,132,532,123,100,394,163,232,926,286
2019,170577,Corçà,123,380,143,86,380,155,209,760,298
2019,080734,Cornellà de Llobregat,6.592,28.862,7.491,6.448,28.951,10.248,13.040,57.813,17.739
2019,170561,Cornellà del Terri,200,761,236,194,728,245,394,1.489,481
2019,430496,Cornudella de Montsant,51,354,100,53,266,117,104,620,217
2019,430509,Creixell,278,1.164,403,251,1.077,469,529,2.241,872
2019,170583,Crespià,20,83,24,18,68,33,38,151,57
2019,179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",90,425,125,92,421,126,182,846,251
2019,080749,Cubelles,1.320,5.191,1.176,1.243,5.008,1.391,2.563,10.199,2.567
2019,250791,Cubells,14,115,51,15,92,56,29,207,107
2019,430516,Cunit,916,4.062,1.369,976,4.054,1.575,1.892,8.116,2.944
2019,170600,Darnius,28,180,65,32,162,79,60,342,144
2019,170617,Das,21,91,19,28,71,23,49,162,42
2019,439018,Deltebre,822,3.823,1.143,775,3.520,1.399,1.597,7.343,2.542
2019,080752,Dosrius,482,1.958,340,476,1.836,389,958,3.794,729
2019,430537,Duesaigües,14,97,29,10,65,30,24,162,59
2019,170622,"Escala, l'",727,3.428,1.112,680,3.230,1.162,1.407,6.658,2.274
2019,080765,Esparreguera,1.836,7.754,1.659,1.731,7.253,2.018,3.567,15.007,3.677
2019,170638,Espinelves,12,79,19,16,64,25,28,143,44
2019,250812,"Espluga Calba, l'",15,103,53,18,88,64,33,191,117
2019,430542,"Espluga de Francolí, l'",247,1.233,344,269,1.167,495,516,2.400,839
